,address,m_edu,f_edu,m_job,f_job,failures,higher,romantic,age,absences
0,U,4.0,4.0,at_home,teacher,0.0,1,0,18,6.0
1,U,1.0,1.0,at_home,other,0.0,1,0,17,4.0
2,U,1.0,1.0,at_home,other,3.0,1,0,15,10.0
3,U,4.0,2.0,health,other,0.0,1,1,15,2.0
4,U,3.0,3.0,other,other,0.0,1,0,16,4.0
5,U,4.0,3.0,services,other,0.0,1,0,16,10.0
6,U,2.0,2.0,other,other,0.0,1,0,16,0.0
7,U,4.0,4.0,other,teacher,0.0,1,0,17,6.0
8,U,3.0,2.0,services,other,0.0,1,0,15,0.0
9,U,3.0,4.0,other,other,0.0,1,0,15,0.0
10,U,4.0,4.0,teacher,health,0.0,1,0,15,0.0
11,U,2.0,4.0,services,other,0.0,1,0,15,4.0
12,U,4.0,4.0,health,services,0.0,1,0,15,2.0
13,U,4.0,3.0,teacher,other,0.0,1,0,15,2.0
14,U,2.0,2.0,other,other,0.0,1,1,15,0.0
15,U,4.0,4.0,health,other,0.0,1,0,16,4.0
16,U,4.0,4.0,services,services,0.0,1,0,16,6.0
17,U,3.0,3.0,other,other,0.0,1,0,16,4.0
18,U,3.0,2.0,services,services,3.0,1,0,17,16.0
19,U,4.0,3.0,health,other,0.0,1,0,16,4.0
20,U,4.0,3.0,teacher,other,0.0,1,0,15,0.0
21,U,4.0,4.0,health,health,0.0,1,0,15,0.0
22,U,4.0,2.0,teacher,other,0.0,1,0,16,2.0
23,U,2.0,2.0,other,other,0.0,1,0,16,0.0
24,R,2.0,4.0,services,health,0.0,1,0,15,0.0
25,U,2.0,2.0,services,services,2.0,1,0,16,14.0
26,U,2.0,2.0,other,other,0.0,1,0,15,2.0
27,U,4.0,2.0,health,services,0.0,1,0,15,4.0
28,U,3.0,4.0,services,other,0.0,1,0,16,4.0
29,U,4.0,4.0,teacher,teacher,0.0,1,1,16,16.0
30,U,4.0,4.0,health,services,0.0,1,0,15,0.0
31,U,4.0,4.0,services,other,0.0,1,0,15,0.0
32,R,4.0,3.0,teacher,at_home,0.0,1,1,15,0.0
33,U,3.0,3.0,other,other,0.0,1,0,15,0.0
34,U,3.0,2.0,other,other,0.0,0,0,16,0.0
35,U,2.0,3.0,other,other,0.0,1,0,15,0.0
36,U,4.0,3.0,teacher,services,0.0,1,0,15,2.0
37,R,4.0,4.0,other,teacher,0.0,1,1,16,7.0
38,R,3.0,4.0,services,health,0.0,1,0,15,2.0
39,R,2.0,2.0,at_home,other,0.0,1,0,15,8.0
40,U,2.0,2.0,other,other,1.0,1,1,16,25.0
41,U,4.0,4.0,teacher,other,0.0,1,0,15,8.0
42,U,4.0,4.0,services,teacher,0.0,1,0,15,2.0
43,U,2.0,2.0,services,services,0.0,1,0,15,0.0
44,U,2.0,2.0,other,other,1.0,1,0,16,14.0
45,U,4.0,3.0,other,other,0.0,1,1,15,8.0
46,U,3.0,3.0,other,services,0.0,1,0,16,12.0
47,U,4.0,3.0,health,other,0.0,1,0,16,4.0
48,U,4.0,2.0,teacher,other,0.0,0,0,15,2.0
49,U,4.0,4.0,services,teacher,1.0,1,0,15,2.0
50,U,2.0,2.0,services,services,0.0,1,0,16,2.0
51,U,4.0,2.0,health,other,0.0,1,0,15,2.0
52,U,4.0,2.0,health,other,1.0,1,0,15,6.0
53,U,4.0,4.0,services,services,0.0,1,0,15,0.0
54,U,3.0,3.0,services,other,0.0,1,0,15,6.0
55,U,2.0,1.0,other,other,0.0,1,1,16,8.0
56,U,4.0,3.0,services,services,0.0,1,0,15,0.0
57,U,4.0,4.0,teacher,health,0.0,1,0,15,4.0
58,U,1.0,1.0,other,at_home,0.0,1,0,15,2.0
59,U,4.0,2.0,teacher,other,0.0,1,0,16,2.0
60,R,4.0,4.0,health,teacher,0.0,1,0,16,6.0
61,U,1.0,1.0,services,services,0.0,1,1,16,6.0
62,U,1.0,2.0,other,services,0.0,1,0,16,4.0
63,U,4.0,3.0,teacher,health,0.0,1,0,16,2.0
64,U,4.0,3.0,services,services,0.0,1,1,15,0.0
65,U,4.0,3.0,teacher,services,0.0,1,0,16,2.0
66,U,4.0,4.0,other,services,0.0,1,1,15,4.0
67,U,3.0,3.0,services,other,0.0,1,0,16,4.0
68,R,2.0,2.0,health,other,0.0,1,0,15,2.0
69,R,3.0,1.0,other,other,0.0,1,0,15,12.0
70,U,3.0,1.0,other,other,0.0,1,0,16,0.0
71,U,4.0,2.0,other,other,0.0,1,0,15,0.0
72,R,1.0,1.0,other,other,2.0,1,1,15,2.0
73,U,3.0,1.0,other,other,0.0,1,0,16,2.0
74,U,3.0,3.0,other,services,0.0,1,0,16,30.0
75,U,4.0,3.0,teacher,other,0.0,1,0,15,6.0
76,U,4.0,0.0,teacher,other,0.0,0,0,15,8.0
77,U,2.0,2.0,other,other,0.0,1,1,16,0.0
78,U,2.0,1.0,other,other,3.0,0,0,17,2.0
79,U,3.0,4.0,at_home,other,0.0,1,0,16,12.0
80,U,2.0,3.0,other,services,0.0,1,1,15,2.0
81,U,2.0,3.0,other,other,0.0,1,0,15,4.0
82,U,3.0,2.0,services,other,0.0,1,0,15,10.0
83,U,2.0,2.0,services,services,0.0,1,0,15,4.0
84,U,1.0,1.0,other,other,0.0,0,0,15,2.0
85,U,4.0,4.0,services,services,2.0,1,1,15,6.0
86,U,2.0,2.0,at_home,other,0.0,1,0,16,4.0
87,U,4.0,2.0,other,other,0.0,1,0,15,4.0
88,U,2.0,2.0,other,other,1.0,1,0,16,12.0
89,U,4.0,4.0,teacher,health,0.0,1,0,16,18.0
90,U,3.0,3.0,other,other,0.0,1,1,16,0.0
91,U,4.0,3.0,services,other,0.0,1,0,15,4.0
92,U,2.0,1.0,other,other,0.0,1,0,16,4.0
93,U,4.0,2.0,teacher,services,0.0,1,0,16,0.0
94,U,2.0,2.0,services,health,0.0,1,0,15,6.0
95,R,1.0,1.0,at_home,other,1.0,1,0,15,2.0
96,U,4.0,3.0,services,other,0.0,0,0,16,2.0
97,U,2.0,1.0,other,other,0.0,1,1,16,2.0
98,U,4.0,4.0,other,other,0.0,1,0,16,6.0
99,U,4.0,3.0,other,at_home,0.0,1,0,16,0.0
100,U,4.0,4.0,services,services,0.0,1,0,16,14.0
101,U,4.0,4.0,services,teacher,0.0,1,1,16,0.0
102,U,4.0,4.0,services,other,0.0,1,0,15,4.0
103,U,3.0,2.0,services,other,0.0,1,0,15,26.0
104,U,3.0,4.0,services,other,0.0,1,0,15,0.0
105,U,3.0,3.0,other,health,0.0,1,0,15,10.0
106,U,2.0,2.0,other,other,0.0,1,0,15,8.0
107,U,3.0,3.0,services,other,0.0,1,0,16,2.0
108,R,4.0,4.0,other,other,0.0,1,1,15,6.0
109,U,4.0,4.0,health,health,0.0,1,1,16,4.0
110,U,4.0,4.0,teacher,teacher,0.0,1,0,15,6.0
111,R,3.0,3.0,services,other,1.0,1,0,16,0.0
112,U,2.0,2.0,at_home,other,1.0,1,0,16,6.0
113,U,4.0,2.0,teacher,other,0.0,1,0,15,10.0
114,R,2.0,1.0,health,services,0.0,1,1,15,8.0
115,U,4.0,4.0,teacher,teacher,0.0,1,0,16,2.0
116,U,4.0,4.0,other,teacher,0.0,1,0,15,2.0
117,U,3.0,3.0,other,services,0.0,1,0,16,0.0
118,R,1.0,3.0,other,other,1.0,1,0,17,20.0
119,U,3.0,4.0,other,other,0.0,1,0,15,6.0
120,U,1.0,2.0,at_home,other,0.0,1,0,15,0.0
121,U,2.0,2.0,services,services,0.0,1,0,15,6.0
122,U,2.0,4.0,other,health,0.0,1,1,16,2.0
123,U,4.0,4.0,health,other,0.0,1,0,16,18.0
124,U,2.0,2.0,other,other,0.0,1,1,16,0.0
125,U,3.0,4.0,services,services,0.0,1,0,15,0.0
126,U,3.0,4.0,other,other,0.0,1,1,15,0.0
127,U,0.0,1.0,at_home,other,3.0,0,0,19,2.0
128,R,2.0,2.0,other,other,2.0,1,0,18,0.0
129,R,4.0,4.0,teacher,teacher,0.0,1,0,16,0.0
130,R,3.0,4.0,services,teacher,2.0,1,1,15,0.0
131,U,1.0,1.0,at_home,other,0.0,1,1,15,0.0
132,U,2.0,2.0,other,other,0.0,1,1,17,12.0
133,U,3.0,4.0,services,other,0.0,1,0,16,16.0
134,R,3.0,4.0,at_home,teacher,0.0,1,1,15,0.0
135,U,4.0,4.0,services,other,0.0,1,1,15,0.0
136,R,3.0,4.0,at_home,other,0.0,1,0,17,0.0
137,U,3.0,3.0,other,other,2.0,1,1,16,0.0
138,U,1.0,1.0,services,other,1.0,1,1,16,0.0
139,U,4.0,4.0,teacher,teacher,0.0,1,0,15,0.0
140,U,4.0,3.0,teacher,services,0.0,1,0,15,0.0
141,U,2.0,2.0,services,services,2.0,1,0,16,8.0
142,U,4.0,4.0,teacher,services,0.0,0,0,15,2.0
143,U,1.0,1.0,at_home,at_home,0.0,1,0,16,2.0
144,U,2.0,1.0,other,other,3.0,1,0,17,0.0
145,U,1.0,1.0,at_home,services,0.0,1,0,15,0.0
146,U,3.0,2.0,health,services,3.0,1,0,15,0.0
147,U,1.0,2.0,at_home,other,0.0,1,0,15,2.0
148,U,4.0,4.0,teacher,teacher,0.0,0,1,16,0.0
149,U,2.0,1.0,services,other,3.0,0,0,15,0.0
150,U,1.0,1.0,other,other,3.0,0,1,18,0.0
151,U,2.0,1.0,at_home,other,1.0,1,1,16,6.0
152,R,3.0,3.0,services,other,2.0,1,1,15,8.0
153,U,3.0,2.0,services,at_home,0.0,0,1,19,0.0
154,U,4.0,4.0,other,teacher,0.0,1,1,17,0.0
155,R,2.0,3.0,at_home,services,0.0,1,0,15,2.0
156,R,1.0,2.0,at_home,other,0.0,1,0,17,8.0
157,R,1.0,1.0,at_home,other,3.0,1,0,18,6.0
158,R,2.0,2.0,at_home,other,0.0,0,0,16,2.0
159,U,3.0,3.0,other,services,1.0,1,1,16,4.0
160,R,2.0,1.0,at_home,other,2.0,0,1,17,0.0
161,R,3.0,3.0,other,other,2.0,1,1,15,6.0
162,U,1.0,2.0,other,other,1.0,1,0,16,0.0
163,U,1.0,3.0,at_home,services,0.0,0,0,17,2.0
164,R,1.0,1.0,other,services,3.0,0,1,17,0.0
165,U,3.0,2.0,services,services,1.0,0,0,16,16.0
166,U,2.0,2.0,other,other,0.0,0,0,16,4.0
167,U,4.0,2.0,health,services,0.0,1,1,16,0.0
168,U,2.0,2.0,other,other,0.0,1,0,16,0.0
169,U,4.0,4.0,health,other,0.0,1,1,16,0.0
170,U,3.0,4.0,other,other,0.0,0,0,16,0.0
171,U,1.0,0.0,other,other,0.0,0,1,16,2.0
172,U,4.0,4.0,teacher,other,0.0,1,0,17,4.0
173,U,1.0,3.0,at_home,services,3.0,1,1,16,0.0
174,U,3.0,3.0,services,other,0.0,1,0,16,4.0
175,U,4.0,3.0,teacher,other,0.0,1,0,17,4.0
176,U,2.0,2.0,services,other,0.0,1,0,16,2.0
177,U,3.0,3.0,services,other,0.0,1,0,17,4.0
178,R,4.0,2.0,teacher,services,0.0,1,1,16,10.0
179,U,4.0,3.0,other,other,0.0,1,1,17,4.0
180,U,4.0,4.0,teacher,other,0.0,1,0,16,10.0
181,U,3.0,3.0,services,other,0.0,0,0,16,2.0
182,U,2.0,4.0,services,other,0.0,1,0,17,0.0
183,U,3.0,3.0,other,other,0.0,1,1,17,30.0
184,U,3.0,2.0,other,other,0.0,1,0,16,14.0
185,U,3.0,3.0,services,services,0.0,1,1,17,12.0
186,U,1.0,2.0,services,services,0.0,1,1,16,2.0
187,U,2.0,1.0,other,other,0.0,1,1,16,0.0
188,U,3.0,3.0,health,other,0.0,1,1,17,6.0
189,R,1.0,2.0,at_home,other,0.0,1,0,17,4.0
190,U,2.0,3.0,services,services,0.0,1,0,16,10.0
191,U,1.0,1.0,at_home,services,0.0,1,0,17,0.0
192,U,1.0,2.0,at_home,services,0.0,1,0,17,12.0
193,R,3.0,3.0,services,services,0.0,1,0,16,8.0
194,U,2.0,3.0,other,other,0.0,1,0,16,0.0
195,U,2.0,2.0,services,services,0.0,1,1,17,0.0
196,U,4.0,4.0,services,teacher,0.0,1,0,17,4.0
197,R,3.0,3.0,teacher,other,0.0,1,0,16,8.0
198,U,4.0,4.0,services,teacher,1.0,1,0,17,24.0
199,U,4.0,4.0,teacher,teacher,0.0,1,0,16,0.0
200,U,4.0,3.0,health,other,0.0,1,0,16,2.0
202,U,1.0,1.0,other,other,0.0,1,0,17,4.0
203,R,2.0,2.0,other,other,0.0,1,0,17,18.0
204,R,2.0,2.0,services,services,0.0,1,0,16,6.0
205,U,3.0,4.0,at_home,services,1.0,1,1,17,28.0
206,U,3.0,1.0,services,other,3.0,1,0,16,5.0
207,U,4.0,3.0,teacher,other,0.0,1,1,16,10.0
208,U,1.0,1.0,at_home,other,0.0,1,0,16,6.0
209,R,4.0,3.0,teacher,other,0.0,1,1,17,6.0
210,U,3.0,3.0,other,other,0.0,1,0,19,10.0
211,U,4.0,4.0,services,other,0.0,1,1,17,13.0
212,U,2.0,2.0,other,other,0.0,1,0,16,0.0
213,U,2.0,2.0,services,other,1.0,1,0,18,15.0
214,R,4.0,4.0,services,other,0.0,1,0,17,12.0
215,U,3.0,2.0,other,other,0.0,1,0,17,0.0
216,U,4.0,3.0,other,other,2.0,1,1,17,22.0
217,U,3.0,3.0,services,health,1.0,1,0,18,13.0
218,U,2.0,3.0,at_home,other,0.0,1,0,17,3.0
219,U,2.0,2.0,other,at_home,0.0,1,0,17,4.0
220,R,2.0,1.0,at_home,services,0.0,1,0,17,2.0
221,U,1.0,1.0,at_home,other,1.0,1,1,17,0.0
222,U,2.0,3.0,services,teacher,0.0,1,0,16,30.0
223,U,2.0,2.0,other,other,0.0,1,0,18,0.0
224,U,4.0,4.0,teacher,services,0.0,1,0,16,0.0
225,R,3.0,1.0,other,other,1.0,1,1,18,16.0
226,U,3.0,2.0,other,other,0.0,1,0,17,10.0
227,U,2.0,3.0,services,services,0.0,0,0,17,0.0
228,U,2.0,1.0,at_home,other,0.0,1,1,18,14.0
229,U,2.0,1.0,other,other,0.0,1,1,17,10.0
230,U,4.0,3.0,health,other,0.0,1,1,17,14.0
231,R,2.0,2.0,other,other,0.0,1,0,17,4.0
232,U,4.0,4.0,teacher,teacher,0.0,1,1,17,14.0
233,U,4.0,4.0,health,other,0.0,1,0,16,2.0
234,U,1.0,1.0,other,other,0.0,1,0,16,18.0
235,U,3.0,2.0,at_home,other,0.0,1,1,16,10.0
236,U,2.0,2.0,other,other,0.0,1,1,17,4.0
237,U,2.0,1.0,other,other,0.0,1,1,16,20.0
238,R,2.0,1.0,at_home,services,0.0,1,0,17,2.0
239,U,2.0,2.0,other,services,1.0,0,0,18,0.0
240,U,4.0,3.0,health,other,0.0,1,1,17,14.0
241,U,4.0,4.0,teacher,other,0.0,1,0,17,2.0
242,U,4.0,3.0,teacher,other,0.0,1,0,16,0.0
243,U,4.0,4.0,services,services,0.0,1,0,16,0.0
245,U,2.0,1.0,other,other,0.0,1,0,16,6.0
246,U,2.0,3.0,other,other,0.0,1,0,17,4.0
247,U,3.0,1.0,services,services,3.0,0,1,22,16.0
248,R,3.0,3.0,other,services,1.0,1,1,18,8.0
249,U,0.0,2.0,other,other,0.0,1,0,16,0.0
250,U,3.0,2.0,services,other,1.0,0,0,18,0.0
251,U,3.0,3.0,at_home,other,0.0,1,0,16,6.0
252,U,2.0,1.0,services,services,1.0,0,0,18,4.0
253,R,2.0,1.0,other,other,0.0,1,0,16,0.0
254,U,2.0,1.0,other,other,0.0,1,0,17,0.0
255,U,1.0,1.0,health,other,1.0,1,0,17,2.0
256,U,4.0,2.0,teacher,services,0.0,1,0,17,6.0
257,U,4.0,3.0,services,at_home,0.0,1,0,19,12.0
258,U,2.0,1.0,other,other,0.0,1,0,18,8.0
259,U,2.0,2.0,services,services,0.0,1,1,17,0.0
260,U,4.0,3.0,teacher,other,0.0,1,1,18,21.0
261,U,4.0,3.0,teacher,other,0.0,1,0,18,2.0
262,R,3.0,2.0,other,other,0.0,1,0,18,1.0
263,U,3.0,3.0,other,other,0.0,1,0,17,4.0
264,U,2.0,2.0,at_home,services,0.0,1,1,18,0.0
265,R,3.0,4.0,services,other,0.0,1,0,18,0.0
266,U,3.0,1.0,services,other,0.0,1,0,17,2.0
267,R,4.0,4.0,teacher,other,0.0,1,0,18,8.0
268,U,4.0,2.0,teacher,other,0.0,1,1,18,10.0
269,R,2.0,1.0,other,other,0.0,0,1,18,0.0
271,U,2.0,3.0,other,services,0.0,1,1,18,4.0
272,U,1.0,1.0,other,other,0.0,1,0,18,2.0
273,R,1.0,2.0,at_home,at_home,0.0,1,1,17,2.0
274,U,2.0,4.0,at_home,health,0.0,1,1,17,2.0
275,U,2.0,2.0,services,other,0.0,1,1,17,6.0
276,R,3.0,2.0,other,services,0.0,0,1,18,30.0
277,U,4.0,4.0,teacher,services,0.0,1,0,18,22.0
278,U,4.0,4.0,health,health,1.0,1,1,18,15.0
279,U,4.0,3.0,teacher,services,0.0,1,0,18,8.0
280,U,4.0,4.0,services,other,0.0,1,0,17,30.0
281,U,3.0,3.0,teacher,services,1.0,0,0,17,19.0
282,R,1.0,1.0,at_home,other,0.0,1,0,18,1.0
284,U,2.0,2.0,other,other,0.0,1,0,17,4.0
285,U,1.0,1.0,other,other,0.0,1,0,17,2.0
286,U,2.0,2.0,at_home,at_home,0.0,1,0,18,5.0
287,U,1.0,1.0,services,teacher,0.0,1,0,17,6.0
288,U,2.0,1.0,services,services,0.0,1,0,18,6.0
289,U,4.0,4.0,teacher,teacher,0.0,1,0,18,9.0
290,U,4.0,4.0,teacher,other,0.0,1,0,18,11.0
291,U,4.0,3.0,teacher,services,0.0,1,0,17,0.0
292,U,2.0,1.0,services,at_home,1.0,1,1,18,12.0
293,R,3.0,1.0,services,other,0.0,1,0,17,6.0
294,R,3.0,2.0,services,other,0.0,1,0,18,8.0
295,U,3.0,3.0,health,other,0.0,1,0,17,4.0
296,U,4.0,4.0,health,other,0.0,1,0,19,0.0
297,U,4.0,3.0,other,other,0.0,1,1,18,10.0
298,U,4.0,3.0,other,other,0.0,1,0,18,0.0
299,U,4.0,4.0,teacher,teacher,0.0,1,1,18,5.0
300,U,4.0,4.0,health,other,0.0,1,1,18,14.0
301,U,4.0,4.0,other,teacher,0.0,1,0,17,0.0
302,U,4.0,2.0,other,other,0.0,1,0,17,0.0
303,U,3.0,2.0,health,other,0.0,1,0,17,0.0
304,U,3.0,3.0,other,other,1.0,1,1,19,20.0
305,U,2.0,4.0,services,at_home,1.0,1,0,18,8.0
306,U,3.0,2.0,services,other,0.0,1,0,20,0.0
307,U,4.0,4.0,teacher,services,1.0,1,1,19,30.0
308,R,3.0,3.0,other,services,1.0,1,0,19,0.0
309,U,1.0,1.0,at_home,other,1.0,1,0,19,18.0
310,U,1.0,1.0,services,services,1.0,1,1,19,0.0
311,U,2.0,1.0,at_home,other,0.0,0,1,19,20.0
313,U,3.0,2.0,services,other,0.0,1,1,19,22.0
314,U,1.0,1.0,at_home,health,2.0,1,1,19,14.0
315,R,2.0,3.0,other,other,1.0,1,1,19,30.0
316,U,2.0,1.0,services,other,0.0,1,0,18,0.0
317,U,4.0,3.0,other,other,0.0,1,1,18,9.0
318,R,3.0,4.0,at_home,services,0.0,1,0,17,0.0
319,U,4.0,4.0,teacher,other,0.0,1,0,18,2.0
320,U,4.0,3.0,services,services,0.0,0,1,17,23.0
321,U,2.0,2.0,other,other,0.0,1,1,17,12.0
322,R,2.0,2.0,services,services,0.0,1,0,17,3.0
323,U,3.0,1.0,services,services,0.0,1,0,17,1.0
324,U,0.0,2.0,at_home,at_home,0.0,1,0,17,0.0
325,U,4.0,4.0,other,other,0.0,1,0,18,3.0
326,U,3.0,3.0,other,services,0.0,1,0,17,3.0
327,R,2.0,2.0,services,other,0.0,1,0,17,8.0
328,U,4.0,4.0,teacher,services,0.0,1,0,17,7.0
329,U,4.0,4.0,teacher,teacher,0.0,1,1,17,4.0
330,U,2.0,2.0,other,other,0.0,1,0,18,2.0
331,R,2.0,4.0,at_home,other,0.0,0,1,17,7.0
332,U,3.0,3.0,services,services,0.0,1,0,18,0.0
333,U,2.0,2.0,other,other,0.0,1,1,18,0.0
334,R,2.0,2.0,at_home,other,0.0,1,0,18,0.0
335,U,3.0,4.0,services,other,0.0,1,0,17,16.0
336,R,3.0,1.0,services,other,1.0,1,0,19,12.0
337,U,3.0,2.0,services,other,0.0,1,1,17,0.0
338,U,3.0,3.0,services,services,0.0,1,0,18,7.0
339,R,3.0,2.0,other,other,0.0,1,0,17,4.0
340,U,2.0,1.0,services,services,1.0,1,1,19,4.0
341,U,4.0,4.0,teacher,other,1.0,1,0,18,0.0
342,U,3.0,4.0,services,other,0.0,1,0,18,11.0
343,U,2.0,2.0,at_home,at_home,1.0,1,1,17,0.0
344,U,2.0,3.0,at_home,other,0.0,1,0,18,4.0
345,U,3.0,2.0,other,other,0.0,1,1,18,7.0
346,R,4.0,3.0,teacher,services,0.0,1,1,18,9.0
347,U,4.0,3.0,teacher,other,0.0,0,1,18,0.0
348,U,4.0,3.0,health,other,0.0,1,1,17,0.0
349,R,3.0,3.0,other,other,1.0,1,0,18,10.0
351,U,3.0,3.0,health,other,0.0,1,0,17,2.0
352,U,1.0,3.0,at_home,services,1.0,0,1,18,0.0
353,R,1.0,1.0,other,other,1.0,1,0,19,4.0
354,U,4.0,3.0,services,other,0.0,1,1,17,4.0
355,U,3.0,3.0,services,services,0.0,1,1,18,0.0
356,R,4.0,4.0,teacher,services,0.0,1,0,17,4.0
357,U,3.0,2.0,services,other,0.0,1,1,17,2.0
358,U,1.0,1.0,other,services,0.0,1,1,18,4.0
359,U,1.0,1.0,at_home,services,0.0,1,0,18,0.0
360,R,1.0,4.0,at_home,other,0.0,1,1,18,0.0
361,R,1.0,1.0,at_home,other,1.0,0,0,18,2.0
362,U,3.0,3.0,services,services,0.0,0,1,18,0.0
363,U,4.0,4.0,at_home,other,0.0,1,1,17,0.0
364,R,1.0,2.0,other,services,0.0,1,0,17,0.0
365,R,1.0,3.0,at_home,other,0.0,1,0,18,4.0
366,U,4.0,4.0,teacher,services,0.0,1,1,18,0.0
367,R,1.0,1.0,other,services,1.0,1,1,17,0.0
368,U,2.0,3.0,at_home,services,0.0,1,1,18,0.0
369,R,4.0,4.0,other,teacher,0.0,1,1,18,10.0
370,U,3.0,2.0,services,services,2.0,1,1,19,4.0
371,R,1.0,2.0,at_home,services,0.0,0,1,18,3.0
372,U,2.0,2.0,other,at_home,0.0,1,0,17,8.0
373,R,1.0,2.0,other,other,0.0,1,0,17,14.0
374,R,4.0,4.0,other,other,0.0,1,0,18,0.0
375,R,1.0,1.0,other,other,0.0,1,0,18,2.0
376,U,4.0,2.0,health,other,2.0,1,1,20,4.0
377,R,4.0,4.0,teacher,services,0.0,1,0,18,4.0
378,U,3.0,3.0,other,other,0.0,1,1,18,0.0
379,R,3.0,1.0,at_home,other,0.0,1,0,17,17.0
380,U,4.0,4.0,teacher,teacher,0.0,1,0,18,4.0
381,R,2.0,1.0,other,other,0.0,1,1,18,5.0
382,U,2.0,3.0,other,services,0.0,0,0,17,2.0
383,R,1.0,1.0,other,services,1.0,1,0,19,0.0
384,R,4.0,2.0,other,other,1.0,1,0,18,14.0
385,R,2.0,2.0,at_home,other,0.0,1,0,18,2.0
386,R,4.0,4.0,teacher,at_home,0.0,1,1,18,7.0
387,R,2.0,3.0,services,other,1.0,1,0,19,0.0
388,U,3.0,1.0,teacher,services,0.0,1,0,18,0.0
389,U,1.0,1.0,other,other,1.0,1,0,18,0.0
390,U,2.0,2.0,services,services,2.0,1,0,20,30.0
391,U,3.0,1.0,services,services,0.0,1,0,17,3.0
392,R,1.0,1.0,other,other,3.0,0,0,21,3.0
393,R,3.0,2.0,services,other,0.0,1,0,18,0.0
394,U,1.0,1.0,other,at_home,0.0,1,0,19,5.0
